単語,カナ,原型,品詞,細分類1,細分類2,細分類3,活用1,活用2,発音
を,ヲ,を,助詞,格助詞,一般,,,,
し,シ,する,動詞,自立,サ変・スル,連用形,,,
て,テ,て,助詞,接続助詞,,,,,
二,ニ,二,名詞,数,,,,,
階,カイ,階,名詞,接尾,助数詞,,,,
ぐらい,グライ,ぐらい,助詞,副助詞,,,,,
から,カラ,から,助詞,格助詞,一般,,,,
飛び降り,トビオリ,飛び降りる,動詞,自立,一段,連用形,,,
て,テ,て,助詞,接続助詞,,,,,
腰,コシ,腰,名詞,一般,,,,,
を,ヲ,を,助詞,格助詞,一般,,,,
抜かす,ヌカス,抜かす,動詞,自立,五段・サ行,基本形,,,
奴,ヤツ,奴,名詞,代名詞,一般,,,,
が,ガ,が,助詞,格助詞,一般,,,,
ある,アル,ある,動詞,自立,五段・ラ行,基本形,,,
か,カ,か,助詞,副助詞／並立助詞／終助詞,,,,,
と,ト,と,助詞,格助詞,引用,,,,
云っ,ユッ,云う,動詞,自立,五段・ワ行促音便,連用タ接続,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
から,カラ,から,助詞,接続助詞,,,,,
、,、,、,記号,読点,,,,,
この,コノ,この,連体詞,,,,,,
次,ツギ,次,名詞,一般,,,,,
は,ハ,は,助詞,係助詞,,,,,
抜かさ,ヌカサ,抜かす,動詞,自立,五段・サ行,未然形,,,
ず,ズ,ぬ,助動詞,特殊・ヌ,連用ニ接続,,,,
に,ニ,に,助詞,格助詞,一般,,,,
飛ん,トン,飛ぶ,動詞,自立,五段・バ行,連用タ接続,,,
で,デ,で,助詞,接続助詞,,,,,
見せ,ミセ,見せる,動詞,自立,一段,連用形,,,
ます,マス,ます,助動詞,特殊・マス,基本形,,,,
と,ト,と,助詞,格助詞,引用,,,,
答え,コタエ,答える,動詞,自立,一段,連用形,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
親類,シンルイ,親類,名詞,一般,,,,,
の,ノ,の,助詞,連体化,,,,,
もの,モノ,もの,名詞,非自立,一般,,,,
から,カラ,から,助詞,格助詞,一般,,,,
西洋,セイヨウ,西洋,名詞,一般,,,,,
製,セイ,製,名詞,接尾,一般,,,,
の,ノ,の,助詞,連体化,,,,,
ナイフ,ナイフ,ナイフ,名詞,一般,,,,,
を,ヲ,を,助詞,格助詞,一般,,,,
貰っ,モラッ,貰う,動詞,自立,五段・ワ行促音便,連用タ接続,,,
て,テ,て,助詞,接続助詞,,,,,
奇麗,キレイ,奇麗,名詞,形容動詞語幹,,,,,
な,ナ,だ,助動詞,特殊・ダ,体言接続,,,,
刃,ハ,刃,名詞,一般,,,,,
を,ヲ,を,助詞,格助詞,一般,,,,
日,ヒ,日,名詞,一般,,,,,
に,ニ,に,助詞,格助詞,一般,,,,
翳し,カザシ,翳す,動詞,自立,五段・サ行,連用形,,,
